subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
zugangsprobleme,"liebes support-team, wir haben derzeit schwierigkeiten beim zugriff auf die gdpr-konformen vorlagen in notion, was unseren vorbereitungsprozess für die prüfung verzögert. nutzer von datavest advisors berichten von gelegentlichen problemen. als vorübergehende lösung laden wir die vorlagen manuell hoch. wir wären dankbar, wenn dieses problem innerhalb der nächsten 24 stunden behoben werden könnte. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
anfrage nach aktueller google meet konfiguration,"hallo support-team, könntet ihr bitte die neuesten einrichtungshinweise für google meet für greenstream energy partner bereitstellen? vielen dank, <name>",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
fehler im jenkins etl-workflow,"liebes support-team,\n\nich habe gelegentlich fehler in den jenkins etl-pipelines, die zu verzögerungen bei der aktualisierung der stakeholder-dashboards von zenithflow führen. die pipelines scheitern sporadisch bei der synchronisierung der daten, und obwohl manuelle neustarts das problem vorübergehend lösen, tritt dieses problem in der vergangenen woche mehrfach auf. wir verwenden die aktuellste jenkins-version und haben die protokolle auf fehlermeldungen überprüft. ihre unterstützung bei der diagnose und behebung dieses problems, um eine zeitnahe aktualisierung der dashboards sicherzustellen, wäre sehr hilfreich.\n\nvielen dank.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
anfrage zur farbkalibrierung des monitors,"liebes support-team, hier spricht ignitebrand studios bezüglich des dell ultrasharp u2720q monitors. als multimedia-designer habe ich festgestellt, dass die bestehenden kalibrierungsanweisungen die präzision unserer designs beeinträchtigen, insbesondere die einheitlichkeit unserer markenfarben. ich möchte um empfehlungen bitten, wie wir den kalibrierungsprozess verbessern können, um eine genauere farbdarstellung zu erreichen. die arbeitsstationen unseres design-teams, die dieses problem haben, arbeiten mit den neuesten softwareversionen. wir wären dankbar für ihre ratschläge zur anpassung der kalibrierung an unsere speziellen anforderungen. vielen dank für ihre aufmerksamkeit.",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
falscher anteiliger guthabenbetrag für retailvision-abonnement,"liebes support-team, ich habe probleme mit dem anteiligen guthaben, das beim herabstufen des retailvision-abonnements in quickbooks online angewendet wird. bitte helfen sie, diese unstimmigkeit innerhalb der nächsten 24 stunden zu beheben. vielen dank, <name>",account & billing management,account & billing management,nan,medium,3,german,german
verzögerungen verursacht durch jenkins-integrationsprobleme,"liebes support-team, wir erleben sporadische ausfälle in der jenkins-pipeline, die den wartungsaktualisierungsprozess für die solaranlagen von greenstream beeinträchtigen. derzeit beinhaltet die zwischenlösung manuelle schritte. ihre hilfe bei der lösung dieses problems wäre sehr geschätzt.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
gelegentliche fehler bei der erstellung von rechnungen,"liebes support-team, ich habe sporadische probleme bei der rechnungserstellung in sage accounting, was zu verzögerungen bei der kundenabrechnung führt. derzeit verwenden wir als vorübergehende lösung die manuelle eingabe. ich danke ihnen für ihre hilfe in dieser angelegenheit. mit freundlichen grüßen, <name>",account & billing management,account & billing management,nan,medium,3,german,german
vorschläge zur verbesserung,"liebes support-team, ich möchte verbesserungsvorschläge für die menüführung der smart-babyphone-app machen. als elternteil, der das safehome security system nutzt, finde ich die anpassung der benachrichtigungen für eltern etwas kompliziert. ich denke, dass die vereinfachung der navigationsbeschriftungen und die anpassung des menülayouts die benutzerfreundlichkeit deutlich verbessern könnten. zum beispiel würde die umsetzung klarerer überschriften und das gruppieren verwandter einstellungen das gesamte benutzererlebnis verbessern. im anhang finden sie einen screenshot der aktuellen menüanordnung zur besseren veranschaulichung. vielen dank für ihre aufmerksamkeit.",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
vpn-verbindungsunterbrechung,"sehr geehrtes support-team, ich melde einen kritischen vpn-ausfall, der die verbindung zur google cloud platform unterbricht. infolgedessen ist die echtzeitsynchronisation der wetterdaten für die flugplanung gestoppt. dies ist ein problem mit hoher priorität, das innerhalb von 4 stunden gelöst werden muss. der ausfall betrifft speziell aeronav systems, unsere luftfahrtssoftware. es wurden bereits fehlerbehebungsversuche unternommen, aber das problem besteht weiterhin. wir würden eine dringende bearbeitung dieses anliegens sehr schätzen. im anhang befindet sich ein screenshot des fehlers zu ihrer information.",network infrastructure,network infrastructure,nan,high,4,german,german
vpn-verbindung hat gelegentliche unterbrechungen,"liebes support-team, ich habe sporadische verbindungsabbrüche mit dem vpn. ein manuelles wiederverbinden behebt das problem jedes mal. - <name>",network infrastructure,network infrastructure,nan,medium,3,german,german
verzögerung bei der aktualisierung der shopify-verkaufsdaten,"liebes support-team,\n\nich habe verzögerungen bei den echtzeit-verkaufsdatenupdates auf meinem shopify-dashboard, was meine tägliche berichterstattung beeinträchtigt. während ich als vorübergehende lösung auf historische daten zugreifen kann, benötige ich zeitnahe updates, um fundierte entscheidungen treffen zu können. dieses problem ist kürzlich aufgetreten. ich habe bereits versucht, den cache zu leeren und nach software-updates zu suchen, jedoch ohne erfolg. ich wäre ihnen dankbar für ihre unterstützung bei der lösung dieses problems.\n\nvielen dank für ihre hilfe.\n\nmit freundlichen grüßen,\n<name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
mailchimp-integration mit retailvision - prüfprotokoll- und workflow-problem,"hallo support-team,\n\nich wende mich an sie bezüglich der mailchimp-integration mit retailvision. der bestehende synchronisierungsprozess enthält keine ausführlichen prüfprotokolle, die für die dsgvo-konformität erforderlich sind. daher muss unser team alle änderungen manuell dokumentieren, was sowohl zeitaufwendig als auch fehleranfällig ist. wir haben dieses problem seit dem letzten update festgestellt, und es beeinträchtigt unseren arbeitsablauf. wir haben versucht, die konfigurationseinstellungen zu überprüfen und anzupassen, aber das problem besteht weiterhin. wir würden es sehr schätzen, wenn sie dieses problem untersuchen und uns so bald wie möglich eine lösung anbieten könnten. bitte lassen sie uns wissen.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
sicherheitsverstoß im hellosign-dienst,"liebes support-team, ich melde einen kritischen sicherheitsverstoß im zusammenhang mit dem hellosign e-signatur-einrichtungsprozess. dieses problem stellt ein compliance-risiko dar und verursacht verzögerungen im kunden-onboarding-workflow. der verstoß wurde auf einem windows-10-gerät mit dem chrome-browser festgestellt. es erschien eine fehlermeldung mit dem text 'security protocol failed.' und ich habe einen screenshot zu ihrer information beigefügt. ich wäre ihnen dankbar, wenn sie diese angelegenheit dringend untersuchen und so schnell wie möglich eine lösung bereitstellen könnten. bitte lassen sie mich wissen.",customer onboarding,customer onboarding,nan,high,4,german,german
probleme mit der airtable-datensynchronisierung,"liebes support-team, ich kontaktiere sie, um ein problem hervorzuheben, das die abläufe bei zenithflow beeinträchtigt. wir haben sporadische ausfälle bei der datensynchronisierung mit airtable, die zu verzögerungen bei den updates der stakeholder-dashboards geführt haben. dieses problem beeinträchtigt die echtzeit-datenaktualisierung und verursacht unstimmigkeiten, die unsere fähigkeit behindern, schnelle entscheidungen zu treffen. obwohl das manuelle aktualisieren der daten eine vorübergehende lösung bietet, ist dies keine langfristige lösung. die etl-pipeline scheint die ursache des problems zu sein. wir bitten sie freundlich um ihre unterstützung bei der lösung dieses problems.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
zugriffsanfrage für fortgeschrittenes pluralsight analytics training,"liebes support-team, ich möchte mich in fortgeschrittene pluralsight-kurse vertiefen, insbesondere mit fokus auf die erstellung von dashboards und die optimierung von etl-pipelines. dies ist eine anfrage mit niedriger priorität, die darauf abzielt, meine ausbildung zu verbessern. ihre unterstützung wäre sehr willkommen.",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
anfrage zur dokumentation für die planung von smartsheet-veröffentlichungen,"liebes support-team,\n\nich kontaktiere medisecure health bezüglich der einführung von smartsheet. wir benötigen aktuelle anweisungen zur planung von bereitstellungsfenstern, die den hipaa-vorschriften entsprechen, da eine bevorstehende prüfung ansteht. könnten sie bitte die neuesten dokumentationen oder ressourcen teilen, die bewährte verfahren für die planung von smartsheet-veröffentlichungen beschreiben? diese unterstützung wäre äußerst hilfreich, um sicherzustellen, dass wir die erforderlichen compliance-kriterien erfüllen. obwohl wir bereits verfügbare materialien geprüft haben, benötigen wir die aktuellsten richtlinien, um auf dem neuesten stand zu bleiben.",release management,release management,nan,low,2,german,german
probleme mit sql server-verbindungen,"liebes support-team, wir erleben sporadische verbindungsabbrüche mit sql server 2019 während des ehr-migrationsprozesses. obwohl eine vorübergehende lösung existiert, benötigen wir eine dauerhafte behebung. bitte helfen sie uns, dieses problem zu lösen. vielen dank, <name>",customer onboarding,customer onboarding,nan,medium,3,german,german
docker-knoten betroffen durch vpn-dienstunterbrechung,"liebes support-team, wir haben eine schwere vpn-störung, die den betrieb der docker-container unterbricht und die überwachung von bedrohungen bei der medizinischen datenverschlüsselung stoppt. eine schnelle lösung ist dringend erforderlich, um weitere störungen zu vermeiden.",network infrastructure,network infrastructure,nan,high,4,german,german
problem mit der ablehnung der wiederkehrenden zahlung bei activecampaign,"liebes support-team, ich wende mich mit der bitte um sofortige hilfe an sie, da eine wiederkehrende zahlung abgelehnt wird, was unterbrechungen bei der kundenabrechnung und dem zugriff auf die analysen für datavest advisors verursacht. dieses problem besteht seit dem 10. februar, und trotz mehrerer versuche, es zu beheben, schlagen die zahlungen weiterhin fehl. ich habe die kontoeinstellungen überprüft und keine offensichtlichen probleme festgestellt. unser team ist stark auf activecampaign für wesentliche abläufe angewiesen, und diese störung beeinträchtigt unsere fähigkeit, die kunden ordnungsgemäß zu betreuen. ein screenshot der fehlermeldung ist zur ihrer information angehängt.",account & billing management,account & billing management,nan,high,4,german,german
